match_id,game_version,queue_id,game_duration,game_mode,team1_win,team1_ban_1,team1_ban_2,team1_ban_3,team1_ban_4,team1_ban_5,team2_win,team2_ban_1,team2_ban_2,team2_ban_3,team2_ban_4,team2_ban_5,team1_top,team1_jungle,team1_mid,team1_adc,team1_support,team2_top,team2_jungle,team2_mid,team2_adc,team2_support,target,has_complete_positions
EUW1_7621528655,15.23.728.3286,420,1450,CLASSIC,0,902,58,804,887,904,1,799,43,238,800,904,14,59,1,21,12,60,30,42,202,80,0,True
EUW1_7621531303,15.23.728.3286,420,1286,CLASSIC,0,69,555,126,904,117,1,35,555,27,157,904,74,950,13,145,111,36,266,163,18,40,0,True
EUW1_7621542288,15.23.728.3286,420,1570,CLASSIC,0,78,134,234,119,92,1,518,799,432,58,134,41,35,517,429,555,875,120,69,51,12,0,True
EUW1_7621544358,15.23.728.3286,420,1373,CLASSIC,1,799,96,555,800,35,0,55,432,799,246,904,68,56,142,222,40,126,59,134,901,267,1,True
EUW1_7621550192,15.23.728.3286,420,1598,CLASSIC,1,246,38,40,7,895,0,432,91,555,7,904,157,20,245,119,44,897,799,517,18,99,1,True
EUW1_7621555377,15.23.728.3286,420,1343,CLASSIC,1,246,904,157,13,92,0,904,432,800,799,80,897,126,133,147,60,266,517,90,202,63,1,True
EUW1_7621564558,15.23.728.3286,420,2305,CLASSIC,0,432,48,246,266,904,1,246,43,-1,432,799,6,2,800,21,89,126,30,115,22,111,0,True
EUW1_7621564935,15.23.728.3286,420,944,CLASSIC,1,78,246,517,238,432,0,421,30,119,114,555,126,245,34,145,526,897,91,1,18,40,1,True
EUW1_7621587148,15.23.728.3286,420,2041,CLASSIC,1,234,518,142,34,92,0,904,107,84,555,119,122,35,238,51,902,67,76,29,81,53,1,True
EUW1_7621589565,15.23.728.3286,420,1748,CLASSIC,1,69,55,92,904,133,0,13,69,432,58,800,41,517,163,236,12,875,799,38,429,526,1,True
EUW1_7621598764,15.23.728.3286,420,1690,CLASSIC,1,246,34,80,799,134,0,119,517,91,238,38,904,266,69,15,78,157,59,910,18,518,1,True
EUW1_7621605586,15.23.728.3286,420,1413,CLASSIC,1,40,133,119,122,13,0,134,904,91,133,246,150,56,84,81,432,98,517,126,202,555,1,True
EUW1_7621612261,15.23.728.3286,420,1577,CLASSIC,0,800,67,107,266,142,1,238,245,246,-1,7,904,234,23,50,37,6,799,39,145,518,0,True
EUW1_7621615990,15.23.728.3286,420,1674,CLASSIC,1,9,555,800,67,104,0,904,432,555,246,92,114,107,518,893,526,68,131,39,523,80,1,True
EUW1_7621619836,15.23.728.3286,420,1451,CLASSIC,1,246,91,517,238,8,0,777,35,238,800,799,24,30,950,202,43,904,76,142,804,111,1,True
EUW1_7621623367,15.23.728.3286,420,1677,CLASSIC,0,432,-1,21,78,55,1,61,904,43,58,897,266,246,136,429,526,875,30,800,804,201,0,True
EUW1_7621645761,15.23.728.3286,420,1988,CLASSIC,0,27,35,133,122,238,1,18,69,91,60,98,2,246,134,895,235,517,64,101,21,518,0,True
EUW1_7621650764,15.23.728.3286,420,1547,CLASSIC,1,238,800,799,35,-1,0,134,234,40,133,61,904,120,29,236,60,106,517,69,18,201,1,True
EUW1_7621653926,15.23.728.3286,420,2906,CLASSIC,0,904,34,8,246,799,1,800,76,119,245,67,24,143,238,901,25,897,31,517,221,53,0,True
EUW1_7621676341,15.23.728.3286,420,928,CLASSIC,1,875,38,799,90,67,0,432,51,19,58,30,39,517,800,22,904,24,54,9,145,117,1,True
EUW1_7621688337,15.23.728.3286,420,1563,CLASSIC,1,134,91,518,555,84,0,136,555,84,133,35,69,246,55,51,43,39,121,7,29,37,1,True
EUW1_7621700466,15.23.728.3286,420,921,CLASSIC,0,800,555,126,904,134,1,246,115,133,800,68,27,266,90,145,99,26,517,50,18,432,0,True
EUW1_7621709744,15.23.728.3286,420,1603,CLASSIC,0,246,555,904,14,38,1,114,875,92,895,69,26,266,800,145,80,893,517,799,236,201,0,True
EUW1_7621714455,15.23.728.3286,420,1728,CLASSIC,1,555,134,246,904,8,0,98,800,-1,27,799,24,234,34,15,201,777,238,517,804,902,1,True
EUW1_7621728779,15.23.728.3286,420,1514,CLASSIC,1,133,904,800,36,34,0,555,238,134,246,68,41,5,245,145,432,23,517,268,81,40,1,True
EUW1_7621743209,15.23.728.3286,420,2146,CLASSIC,0,804,92,35,800,55,1,126,497,432,246,91,86,76,157,81,78,27,64,875,202,89,0,True
