match_id,game_version,queue_id,game_duration,game_mode,team1_win,team1_ban_1,team1_ban_2,team1_ban_3,team1_ban_4,team1_ban_5,team2_win,team2_ban_1,team2_ban_2,team2_ban_3,team2_ban_4,team2_ban_5,team1_top,team1_jungle,team1_mid,team1_adc,team1_support,team2_top,team2_jungle,team2_mid,team2_adc,team2_support,target,has_complete_positions
KR_7908045628,15.22.724.5161,420,1243,CLASSIC,1,555,246,119,-1,122,0,32,122,142,246,517,421,104,268,81,43,799,36,61,51,518,1,True
KR_7908065323,15.22.724.5161,420,2034,CLASSIC,0,246,64,497,24,10,1,51,134,11,61,24,36,200,142,42,111,92,234,45,18,78,0,True
KR_7908075927,15.22.724.5161,420,1534,CLASSIC,1,246,142,78,-1,107,0,30,-1,142,81,64,799,517,134,145,12,126,234,69,800,555,1,True
KR_7908108367,15.22.724.5161,420,1062,CLASSIC,0,24,246,64,10,9,1,11,134,58,119,61,150,200,142,145,518,887,234,45,804,80,0,True
KR_7908124816,15.22.724.5161,420,1462,CLASSIC,0,35,-1,555,246,804,1,-1,11,246,-1,119,58,64,910,110,43,799,120,4,145,518,0,True
KR_7908146066,15.22.724.5161,420,1246,CLASSIC,1,897,119,-1,246,91,0,30,246,555,22,78,23,517,777,21,89,68,72,268,202,143,1,True
KR_7908287528,15.22.724.5161,420,1481,CLASSIC,1,-1,119,61,45,432,0,78,114,11,134,61,27,121,142,18,44,777,246,10,145,111,1,True
KR_7908307419,15.22.724.5161,420,1503,CLASSIC,1,-1,107,-1,246,78,0,7,555,19,142,120,897,234,517,22,89,799,5,61,110,201,1,True
KR_7908323784,15.22.724.5161,420,1590,CLASSIC,0,7,-1,246,11,555,1,246,24,68,107,119,27,64,61,429,888,58,200,112,18,12,0,True
KR_7908338766,15.22.724.5161,420,1592,CLASSIC,0,126,246,45,202,85,1,11,61,114,110,78,24,517,777,115,526,799,59,142,15,53,0,True
KR_7908354762,15.22.724.5161,420,1609,CLASSIC,0,555,107,119,61,246,1,799,246,107,517,-1,150,234,3,145,78,897,254,112,498,432,0,True
KR_7908382253,15.22.724.5161,420,1682,CLASSIC,0,64,12,-1,246,24,1,76,27,142,11,200,164,234,3,804,526,887,5,61,22,518,0,True
KR_7908395748,15.22.724.5161,420,926,CLASSIC,0,799,61,30,119,11,1,-1,246,114,30,-1,266,64,142,145,78,126,517,14,42,12,0,True
KR_7908445232,15.22.724.5161,420,928,CLASSIC,0,555,799,119,76,107,1,517,11,2,10,166,133,64,163,804,432,126,246,13,22,147,0,True
KR_7908464427,15.22.724.5161,420,1542,CLASSIC,1,246,122,51,-1,142,0,3,7,421,-1,61,58,143,268,804,518,799,36,26,429,44,1,True
KR_7908471047,15.22.724.5161,420,1098,CLASSIC,0,119,126,-1,11,64,1,78,804,64,-1,119,27,121,163,42,518,799,246,112,145,432,0,True
KR_7908487034,15.22.724.5161,420,1694,CLASSIC,1,107,246,24,64,-1,0,246,804,107,799,-1,126,11,13,115,555,114,163,39,21,12,1,True
KR_7908555102,15.22.724.5161,420,1135,CLASSIC,1,107,-1,246,119,799,0,9,555,78,43,7,98,427,112,81,12,24,64,61,804,497,1,True
KR_7908574921,15.22.724.5161,420,1905,CLASSIC,1,11,114,246,-1,10,0,236,7,80,64,30,777,143,13,145,12,799,36,517,804,518,1,True
KR_7908628196,15.22.724.5161,420,1096,CLASSIC,1,-1,200,555,11,27,0,64,9,53,246,799,887,56,61,236,12,14,5,13,22,518,1,True
KR_7908694355,15.22.724.5161,420,1443,CLASSIC,1,804,246,61,236,115,0,27,163,7,246,131,68,234,799,221,497,83,143,777,51,111,1,True
KR_7908761633,15.22.724.5161,420,1679,CLASSIC,0,163,142,114,2,246,1,27,69,246,30,427,897,203,103,119,78,24,234,112,18,12,0,True
KR_7908776036,15.22.724.5161,420,1775,CLASSIC,0,142,427,246,166,27,1,60,427,517,555,39,516,48,61,145,78,68,64,134,18,147,0,True
KR_7908816641,15.22.724.5161,420,1526,CLASSIC,1,555,-1,120,7,246,0,-1,80,11,22,78,58,254,61,804,12,799,5,134,119,201,1,True
KR_7908895929,15.22.724.5161,420,933,CLASSIC,1,-1,119,246,68,120,0,80,555,517,246,111,54,5,163,221,43,126,48,13,804,518,1,True
KR_7908925153,15.22.724.5161,420,2137,CLASSIC,0,107,518,11,-1,246,1,-1,7,78,64,246,799,517,134,22,147,897,234,13,110,432,0,True
KR_7908934680,15.22.724.5161,420,1716,CLASSIC,1,887,119,61,-1,107,0,246,142,555,799,-1,14,876,126,42,518,13,36,897,236,267,1,True
KR_7908946875,15.22.724.5161,420,1634,CLASSIC,1,142,893,114,246,166,0,245,2,64,246,78,126,254,163,895,497,799,30,42,18,12,1,True
KR_7908975772,15.22.724.5161,420,1682,CLASSIC,0,-1,60,254,-1,20,1,76,24,61,142,517,799,62,893,145,555,68,246,163,21,89,0,True
KR_7908990085,15.22.724.5161,420,1553,CLASSIC,0,804,30,166,114,145,1,555,268,30,166,246,897,104,13,81,43,23,5,893,221,497,0,True
KR_7908996862,15.22.724.5161,420,1514,CLASSIC,0,246,107,555,61,69,1,-1,238,-1,555,-1,24,64,85,804,526,799,76,777,222,26,0,True
KR_7909007586,15.22.724.5161,420,1883,CLASSIC,1,555,246,-1,61,107,0,81,-1,10,107,126,58,5,103,804,497,799,72,777,30,89,1,True
KR_7909016297,15.22.724.5161,420,1498,CLASSIC,0,166,11,61,246,555,1,78,-1,51,113,30,23,234,142,910,12,164,64,103,145,518,0,True
KR_7909037183,15.22.724.5161,420,953,CLASSIC,1,-1,19,120,246,-1,0,78,804,64,61,-1,421,76,126,145,111,799,59,84,30,555,1,True
KR_7909037819,15.22.724.5161,420,1570,CLASSIC,0,24,497,799,64,-1,1,518,555,-1,799,-1,887,11,61,901,12,897,203,268,81,432,0,True
KR_7909043159,15.22.724.5161,420,1722,CLASSIC,0,64,104,897,22,246,1,9,799,518,4,166,58,35,61,804,201,114,63,777,236,12,0,True
KR_7909046481,15.22.724.5161,420,1635,CLASSIC,0,107,555,799,246,268,1,84,22,950,126,246,42,234,800,18,111,23,143,777,236,497,0,True
KR_7909046722,15.22.724.5161,420,1157,CLASSIC,0,62,555,246,119,64,1,-1,61,804,107,246,24,30,14,21,12,887,36,13,221,44,0,True
KR_7909069715,15.22.724.5161,420,1691,CLASSIC,0,64,142,61,517,246,1,78,119,120,799,-1,23,30,777,202,432,14,104,893,22,147,0,True
KR_7909094851,15.22.724.5161,420,1811,CLASSIC,1,30,555,35,268,120,0,22,555,119,126,64,68,246,799,145,44,23,76,86,21,89,1,True
